"V1"	"V2"
"ev:E00495"	"Punica granatum bark or root bark Granati cortex Gratati radix cortex"
"ev:E00496"	"Pseudolarix kaempferi bark Pseudolari cortex"
"ev:E00497"	"Piper wallichii stem with leaf Piperis wallichii caulis"
"ev:E00498"	"Spatholobus suberectus, Mucuna birdwoodiana stem"
"ev:E00499"	"Gleditsia sinensis spine Gleditsiae spina"
"ev:E00500"	"Aralia elata bark, tree, and root bark Araliae cortex, lignum et radicis cortex"
"ev:E00501"	"Ficus pumila leaf and stem Ficis pumilae caulis"
"ev:E00502"	"Ferula assa-foetida resin Asa foetida"
"ev:E00503"	"Liquidambar orientalis balsam Styrax Styrax liquidus"
"ev:E00504"	"Pistacia khinjuk gum resin Indicae mastiche Resina pistacia"
"ev:E00505"	"Grinded paste of Ulmus macrocarpia key fruit with flower and leaf Ulmi pasta"
"ev:E00506"	"Quercus infectoria galls Galla halepensis"
"ev:E00507"	"Cicada flammata larva"
"ev:E00508"	"Polyporus mylittae sclerotium Omphalia"
"ev:E00509"	"Ganoderma applanatum fruit body Elfvingia"
"ev:E00510"	"Leech Hirudo"
"ev:E00511"	"Leporidae feces Faeces leporum"
"ev:E00512"	"Scorpion"
"ev:E00513"	"Bat faeces Vespertilionum faeces"
"ev:E00514"	"Saiga tatarica horn Antelopis cornu"
