"k"	"w"	"num_featg"	"fitness_gbest"	"min_fit_x"	""
704	1	10	-111.99	-111.99	2
705	1	10	-111.99	-111.99	2
706	1	10	-111.99	-111.99	1
707	1	10	-111.99	-111.99	2
708	1	10	-111.99	-111.99	2
709	1	10	-111.99	-111.99	3
710	1	10	-111.99	-111.99	3
711	1	10	-111.99	-111.99	2
712	1	10	-111.99	-111.99	1
713	1	10	-111.99	-111.99	3
714	1	10	-111.99	-111.99	1
715	1	10	-111.99	-111.99	2
716	1	10	-111.99	-111.99	1
717	1	10	-111.99	-111.99	4
718	1	10	-111.99	-111.99	1
719	1	10	-111.99	-111.99	1
720	1	10	-111.99	1e+21	1
721	1	10	-111.99	-111.99	1
722	1	10	-111.99	-111.99	1
723	1	10	-111.99	-111.99	2
724	1	10	-111.99	-111.99	2
725	1	10	-111.99	-111.99	4
726	1	10	-111.99	-111.99	1
727	1	10	-111.99	-111.99	2
728	1	10	-111.99	-111.99	2
729	1	10	-111.99	-111.99	2
730	1	10	-111.99	-111.99	2
731	1	10	-111.99	-111.99	2
732	1	10	-111.99	-111.99	2
733	1	10	-111.99	-111.99	3
734	1	10	-111.99	-111.99	2
735	1	10	-111.99	-111.99	3
736	1	10	-111.99	-111.99	1
737	1	10	-111.99	-111.99	2
738	1	10	-111.99	-111.99	2
739	1	10	-111.99	-111.99	2
740	1	10	-111.99	-111.99	1
741	1	10	-111.99	-111.99	2
742	1	10	-111.99	-111.99	2
743	1	10	-111.99	-111.99	2
744	1	10	-111.99	-111.99	3
745	1	10	-111.99	-111.99	1
746	1	10	-111.99	-111.99	3
747	1	10	-111.99	-111.99	2
748	1	10	-111.99	-111.99	2
749	1	10	-111.99	-111.99	3
750	1	10	-111.99	-111.99	2
751	1	10	-111.99	-111.99	3
752	1	10	-111.99	-111.99	2
753	1	10	-111.99	-111.99	2
754	1	10	-111.99	-111.99	1
755	1	10	-111.99	-111.99	3
756	1	10	-111.99	-111.99	2
757	1	10	-111.99	-111.99	2
758	1	10	-111.99	-111.99	1
759	1	10	-111.99	-111.99	2
760	1	10	-111.99	-111.99	1
761	1	10	-111.99	-111.99	2
762	1	10	-111.99	-111.99	3
763	1	10	-111.99	-111.99	2
764	1	10	-111.99	-111.99	2
765	1	10	-111.99	-111.99	2
766	1	10	-111.99	-111.99	1
767	1	10	-111.99	-111.99	2
768	1	10	-111.99	-111.99	4
769	1	10	-111.99	-111.99	3
